State,Football,Basketball,Total
TX,132,28,160
FL,131,18,149
CA,108,36,144
AL,89,4,93
OH,78,9,87
PA,67,17,84
NC,65,50,115
MI,65,17,82
SC,63,6,69
LA,61,9,70
TN,55,16,71
WA,50,16,66
IN,50,19,69
GA,48,6,54
VA,47,14,61
MS,45,2,47
OK,44,6,50
UT,43,4,47
IA,35,10,45
KY,31,37,68
WI,28,6,34
OR,26,9,35
MA,26,6,32
IL,25,3,28
CO,22,4,26
NE,19,6,25
NY,19,10,29
ID,18,1,19
AR,18,4,22
WV,17,2,19
MO,17,6,23
MD,16,4,20
KS,16,16,32
WY,14,2,16
AZ,13,12,25
NJ,13,0,13
CT,10,6,16
MN,10,1,11
ND,7,0,7
DE,6,0,6
SD,5,0,5
NV,5,7,12
NM,3,2,5
HI,2,0,2
ME,1,0,1
MT,1,0,1
DC,0,3,3
RI,0,1,1